,account_length,voice_mail_messages,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge,churn
0,128,25,1,0,110,45.07,99,16.78,91,11.01,3,2.7,75.56,0
1,107,26,1,0,123,27.47,103,16.62,103,11.45,3,3.7,59.24,0
2,137,0,0,0,114,41.38,110,10.3,104,7.32,5,3.29,62.29,0
3,84,0,2,1,71,50.9,88,5.26,89,8.86,7,1.78,66.8,0
4,75,0,3,1,113,28.34,122,12.61,121,8.41,3,2.73,52.09,0
5,118,0,0,1,98,37.98,101,18.75,118,9.18,6,1.7,67.61,0
6,121,24,3,0,88,37.09,108,29.62,118,9.57,7,2.03,78.31,0
7,147,0,0,1,79,26.69,94,8.76,96,9.53,6,1.92,46.9,0
8,117,0,1,0,97,31.37,80,29.89,90,9.71,4,2.35,73.32,0
9,141,37,0,1,84,43.96,111,18.87,97,14.69,5,3.02,80.54,0
10,65,0,4,0,137,21.95,83,19.42,111,9.4,6,3.43,54.2,1
11,74,0,0,0,127,31.91,148,13.89,94,8.82,5,2.46,57.08,0
12,168,0,1,0,96,21.9,71,8.92,128,6.35,2,3.02,40.19,0
13,95,0,3,0,88,26.62,75,21.05,115,8.65,5,3.32,59.64,0
14,62,0,4,0,70,20.52,76,26.11,99,9.14,6,3.54,59.31,0
15,161,0,4,0,67,56.59,97,27.01,128,7.23,9,1.46,92.29,1
16,85,27,1,0,139,33.39,90,23.88,75,4.02,4,3.73,65.02,0
17,93,0,3,0,114,32.42,111,18.55,121,5.83,3,2.19,58.99,0
18,76,33,1,0,66,32.25,65,18.09,108,7.46,5,2.7,60.5,0
19,73,0,1,0,90,38.15,88,13.56,74,8.68,2,3.51,63.9,0
20,147,0,0,0,117,26.37,93,20.37,133,9.4,4,2.86,59.0,0
21,77,0,5,0,89,10.61,121,14.44,64,9.43,6,1.54,36.02,1
22,130,0,0,0,112,31.11,99,6.2,78,8.18,19,2.57,48.06,0
23,111,0,2,0,103,18.77,102,11.67,105,8.53,6,2.08,41.05,0
24,132,0,0,0,86,13.79,72,20.84,115,10.67,2,2.78,48.08,0
25,174,0,3,0,76,21.13,112,23.55,115,11.28,5,4.19,60.15,0
26,57,39,0,0,115,36.21,112,16.24,115,8.22,3,2.57,63.24,0
27,54,0,3,0,73,22.83,100,13.22,68,4.59,4,3.97,44.61,0
28,20,0,0,0,109,32.3,84,21.95,102,8.17,6,1.7,64.12,0
29,49,0,1,0,117,20.28,109,18.28,90,8.04,1,3.0,49.6,0
30,142,0,2,0,95,14.42,63,11.62,148,11.27,6,3.83,41.14,0
31,75,0,1,0,105,38.44,107,17.13,98,11.08,5,2.78,69.43,0
32,172,0,3,0,121,36.04,115,2.65,78,13.2,10,3.4,55.29,0
33,12,0,1,0,118,42.43,119,21.45,90,12.61,3,3.19,79.68,1
34,57,25,0,0,94,30.06,75,16.58,116,9.61,4,2.24,58.49,0
35,72,37,3,0,80,37.4,102,18.47,71,6.88,6,3.97,66.72,0
36,36,30,0,0,128,24.87,80,13.81,109,5.82,6,3.92,48.42,0
37,78,0,1,0,64,22.24,116,19.01,108,10.25,5,2.7,54.2,0
38,136,33,3,1,106,34.66,99,15.95,107,4.58,6,2.84,58.03,0
39,149,0,1,0,94,23.87,92,23.1,108,8.47,9,3.0,58.44,0
40,98,0,3,0,102,21.47,85,14.18,135,8.45,2,2.54,46.64,0
41,135,41,0,1,85,29.43,107,17.33,78,5.5,15,3.94,56.2,1
42,34,0,2,0,82,21.22,98,23.99,78,14.02,4,2.7,61.93,0
43,160,0,3,0,77,14.59,110,14.05,92,8.03,4,2.48,39.15,0
44,64,0,1,0,67,26.18,118,19.19,86,11.94,3,0.95,58.26,0
45,59,28,2,0,97,20.55,92,18.11,116,7.34,5,2.3,48.3,0
46,65,0,3,0,120,35.92,122,13.82,118,6.06,5,3.56,59.36,0
47,142,0,2,0,133,31.79,74,11.44,127,10.9,5,2.0,56.13,0
48,119,0,5,0,114,27.05,117,19.66,91,6.44,3,2.38,55.53,1
49,97,24,1,0,135,22.64,58,18.46,79,3.18,3,2.97,47.25,0
50,52,0,3,0,108,32.62,96,22.93,87,10.66,5,2.11,68.32,0
51,60,0,1,0,57,37.5,115,17.94,129,11.21,3,1.84,68.49,0
52,10,0,2,0,112,31.64,66,16.17,57,12.73,6,3.08,63.62,0
53,96,0,2,0,117,27.23,67,22.74,68,10.28,5,2.51,62.76,0
54,87,0,5,0,83,25.67,116,18.67,127,9.18,3,2.62,56.14,1
55,81,0,1,0,67,29.84,85,21.19,98,12.16,3,2.75,65.94,0
56,141,0,1,0,98,21.57,62,15.3,128,6.34,2,2.16,45.37,0
57,121,30,3,0,129,33.73,77,6.4,77,8.15,3,1.57,49.85,1
58,68,0,3,0,70,25.3,164,20.95,103,5.84,3,3.27,55.36,0
59,125,0,1,0,103,38.98,126,15.08,95,8.52,8,3.24,65.82,0
60,174,0,1,0,97,32.66,94,14.44,54,7.5,4,3.08,57.68,0
61,116,34,2,0,83,45.66,142,15.15,106,7.48,3,3.13,71.42,0
62,74,33,2,0,91,32.93,96,20.92,92,6.21,3,3.94,64.0,0
63,149,28,3,0,92,30.72,64,15.96,53,11.95,3,3.4,62.03,0
64,38,0,2,0,98,22.3,97,13.85,106,7.15,6,2.21,45.51,0
65,40,41,2,0,74,25.18,88,14.41,102,9.63,5,1.67,50.89,0
66,43,0,0,1,105,42.76,104,18.09,67,7.1,4,2.51,70.46,0
67,113,0,0,1,93,21.28,119,17.54,139,5.82,8,2.24,46.88,0
68,126,0,1,0,70,35.97,80,18.44,60,6.91,1,2.11,63.43,0
69,150,0,4,0,101,30.41,110,14.37,100,6.69,3,3.73,55.2,1
70,138,0,3,0,93,41.11,83,14.49,104,13.29,7,3.19,72.08,0
71,162,46,0,0,97,38.23,84,16.0,61,11.46,2,3.27,68.96,0
72,147,0,3,0,83,42.26,85,12.66,109,7.76,4,2.16,64.84,0
73,90,0,1,0,146,34.58,117,19.27,105,6.86,4,1.97,62.68,0
74,85,0,0,0,109,40.09,94,13.36,99,8.47,3,3.24,65.16,0
75,50,0,1,0,90,26.71,72,18.98,111,8.16,2,1.65,55.5,0
76,82,0,0,0,109,51.05,100,15.39,73,12.15,4,3.16,81.75,1
77,144,0,4,0,117,10.47,85,6.55,99,7.79,7,2.21,27.02,1
78,46,0,2,0,72,36.4,104,13.97,113,7.99,3,2.21,60.57,0
79,70,0,1,0,98,28.93,102,13.19,76,10.29,2,4.05,56.46,0
80,144,0,1,0,99,34.19,74,25.8,119,10.08,2,3.56,73.63,0
81,116,0,3,1,104,36.62,79,17.41,109,12.53,5,3.4,69.96,0
82,55,25,3,0,123,28.15,95,11.57,90,7.91,2,2.97,50.6,0
83,70,24,1,0,101,42.42,98,22.07,68,10.02,4,2.65,77.16,0
84,106,0,2,0,96,35.8,85,21.18,88,8.61,1,3.35,68.94,1
